          MJD                     X              XE                 O                    OE                
   54269.3147931347630220     77.4153595     53.3584175   18656.7687843561325280     771.7995133819950979
   54269.3147937089088373    -23.3520813     28.5710506   18641.1481012886360986     783.9892535520110641
   54269.3147942835275899     57.2618790     49.4060478   20627.5438478868163656     797.7883079510978632
   54269.3147948576806812    137.8758392     63.7621346   25927.7427484905820165     911.0075780240905488
   54269.3147954318264965     16.9548950     40.3563004   28874.4389342464928632     934.1518512510888286
   54269.3147960064525250     97.5688477     57.0375633   26805.7270109038472583     927.2462875852332900
   54269.3147965806128923     16.9548950     40.3563004   24595.9294127541979833     887.3973818749811926
   54269.3147971547514317     77.4153595     53.3584175   22823.5626157219667220     859.5511243278964457
   54269.3147977293774602     37.1083908     45.1086960   23955.8185263284358371     879.4809215703944574
   54269.3147983035305515     77.4153595     53.3584175   25774.3017728515224007     899.9074776966747322
   54269.3147988781565800     -3.1985893     34.9638100   22078.4156775104383996     844.3799080832657182
   54269.3147994523169473    117.7223358     60.4933624   20667.0594022408440651     817.5657709290799176
   54269.3148000264627626     37.1083908     45.1086960   26125.1544213150700671     917.2282911297347709
   54269.3148006010815152     57.2618790     49.4060478   23190.8529079931504384     853.4593685981195677
   54269.3148011752273305     97.5688477     57.0375633   29081.3982205400861858     961.5647904839145212
   54269.3148017493876978     57.2618790     49.4060478   22901.6537274338406860     852.2256994382865969
   54269.3148023239991744     -3.1985893     34.9638100   22295.0087026523688110     841.2770875011264025
   54269.3148028981668176    -23.3520813     28.5710506   24464.0394677240110468     893.7350563215283046
   54269.3148034723199089     37.1083908     45.1086960   24930.5585004956301418     899.2868366825869089
   54269.3148040469386615     37.1083908     45.1086960   22936.5517310984942014     863.4087723408729289
   54269.3148046210772009     16.9548950     40.3563004   23686.8022132107762445     876.7046084527349876
   54269.3148051957105054    -63.6590576      1.9946656   26315.0633432459217147     933.0257619176353501
   54269.3148057698708726     37.1083908     45.1086960   22510.0317851671607059     866.1545570875010753
   54269.3148063440166879     -3.1985893     34.9638100   23341.7642582079242857     877.7217338019283943
   54269.3148069186427165    158.0293274     66.8713150   20696.9596731849451317     826.1342464930461347
   54269.3148074928030837     97.5688477     57.0375633   22828.1469466222115443     851.3928208825208230
   54269.3148080669634510     -3.1985893     34.9638100   20092.6634105313751206     816.7563461596226944
   54269.3148086415676516     57.2618790     49.4060478   19854.1354816617094912     810.2068186596977739
