MJD,X,XE,O,OE
54269.3147776279 ,178.1828156000 ,69.8422241000 ,18668.8853948514 ,787.6882616923 
54269.3147782025 ,57.2618790000 ,49.4060478000 ,19895.9555050914 ,805.0350665345 
54269.3147787767 ,-3.1985893000 ,34.9638100000 ,23159.8773001712 ,867.8302339972 
54269.3147793508 ,77.4153595000 ,53.3584175000 ,21773.4653954522 ,824.5999843802 
54269.3147799254 ,16.9548950000 ,40.3563004000 ,21180.6250385990 ,816.5367264426 
54269.3147804996 ,117.7223358000 ,60.4933624000 ,23499.0021327085 ,861.3572965666 
54269.3147810737 ,-43.5055695000 ,20.2519569000 ,23340.9620618185 ,856.6101733201 
54269.3147816484 ,77.4153595000 ,53.3584175000 ,22493.4489585773 ,849.1620197651 
54269.3147822225 ,37.1083908000 ,45.1086960000 ,22746.5763695893 ,841.4964765252 
54269.3147827967 ,16.9548950000 ,40.3563004000 ,19490.8303337238 ,795.2080838665 
54269.3147833713 ,57.2618790000 ,49.4060478000 ,18242.7271755129 ,775.4637637800 
54269.3147839454 ,37.1083908000 ,45.1086960000 ,17980.2047159893 ,762.8298627257 
54269.3147845196 ,97.5688477000 ,57.0375633000 ,16894.8920585143 ,741.8172695323 
54269.3147850942 ,-23.3520813000 ,28.5710506000 ,15159.3340182031 ,703.4974737917 
54269.3147856684 ,-23.3520813000 ,28.5710506000 ,17852.5865897690 ,750.2288738698 
54269.3147862425 ,97.5688477000 ,57.0375633000 ,20384.3946772400 ,818.2273214983 
54269.3147868171 ,-23.3520813000 ,28.5710506000 ,21004.8628253882 ,815.9155471449 
54269.3147873913 ,77.4153595000 ,53.3584175000 ,25310.3837265326 ,887.5042696224 
54269.3147879659 ,-43.5055695000 ,20.2519569000 ,26885.0681709771 ,940.9991264906 
54269.3147885401 ,16.9548950000 ,40.3563004000 ,22706.4567072181 ,860.2600438557 
54269.3147891142 ,57.2618790000 ,49.4060478000 ,21661.4974810008 ,858.9639337959 
54269.3147896888 ,117.7223358000 ,60.4933624000 ,19777.6782914301 ,807.6468955574 
54269.3147902630 ,-3.1985893000 ,34.9638100000 ,19728.5511447538 ,799.3520987654 
54269.3147908376 ,77.4153595000 ,53.3584175000 ,21613.1786825268 ,831.6644955093 
54269.3147914118 ,137.8758392000 ,63.7621346000 ,18526.1104322489 ,775.8843939804 
54269.3147919859 ,57.2618790000 ,49.4060478000 ,19133.5084389174 ,789.8127133459 
54269.3147925601 ,-3.1985893000 ,34.9638100000 ,21321.3391439127 ,825.7642918507 
54269.3147931347 ,77.4153595000 ,53.3584175000 ,18656.7687843561 ,771.7995133820 
54269.3147937089 ,-23.3520813000 ,28.5710506000 ,18641.1481012886 ,783.9892535520 
54269.3147942835 ,57.2618790000 ,49.4060478000 ,20627.5438478868 ,797.7883079511 
54269.3147948576 ,137.8758392000 ,63.7621346000 ,25927.7427484905 ,911.0075780241 
54269.3147954318 ,16.9548950000 ,40.3563004000 ,28874.4389342464 ,934.1518512511 
54269.3147960064 ,97.5688477000 ,57.0375633000 ,26805.7270109038 ,927.2462875852 
54269.3147965806 ,16.9548950000 ,40.3563004000 ,24595.9294127541 ,887.3973818750 
54269.3147971547 ,77.4153595000 ,53.3584175000 ,22823.5626157219 ,859.5511243279 
54269.3147977293 ,37.1083908000 ,45.1086960000 ,23955.8185263284 ,879.4809215704 
54269.3147983035 ,77.4153595000 ,53.3584175000 ,25774.3017728515 ,899.9074776967 
54269.3147988781 ,-3.1985893000 ,34.9638100000 ,22078.4156775104 ,844.3799080833 
54269.3147994523 ,117.7223358000 ,60.4933624000 ,20667.0594022408 ,817.5657709291 
54269.3148000264 ,37.1083908000 ,45.1086960000 ,26125.1544213150 ,917.2282911297 
54269.3148006010 ,57.2618790000 ,49.4060478000 ,23190.8529079931 ,853.4593685981 
54269.3148011752 ,97.5688477000 ,57.0375633000 ,29081.3982205400 ,961.5647904839 
54269.3148017493 ,57.2618790000 ,49.4060478000 ,22901.6537274338 ,852.2256994383 
54269.3148023239 ,-3.1985893000 ,34.9638100000 ,22295.0087026523 ,841.2770875011 
54269.3148028981 ,-23.3520813000 ,28.5710506000 ,24464.0394677240 ,893.7350563215 
54269.3148034723 ,37.1083908000 ,45.1086960000 ,24930.5585004956 ,899.2868366826 
54269.3148040469 ,37.1083908000 ,45.1086960000 ,22936.5517310984 ,863.4087723409 
54269.3148046210 ,16.9548950000 ,40.3563004000 ,23686.8022132107 ,876.7046084527 
54269.3148051957 ,-63.6590576000 ,1.9946656000 ,26315.0633432459 ,933.0257619176 
54269.3148057698 ,37.1083908000 ,45.1086960000 ,22510.0317851671 ,866.1545570875 
54269.3148063440 ,-3.1985893000 ,34.9638100000 ,23341.7642582079 ,877.7217338019 
54269.3148069186 ,158.0293274000 ,66.8713150000 ,20696.9596731849 ,826.1342464930 
54269.3148074928 ,97.5688477000 ,57.0375633000 ,22828.1469466222 ,851.3928208825 
54269.3148080669 ,-3.1985893000 ,34.9638100000 ,20092.6634105313 ,816.7563461596 
54269.3148086415 ,57.2618790000 ,49.4060478000 ,19854.1354816617 ,810.2068186597 
54269.3148092157 ,37.1083908000 ,45.1086960000 ,19183.2077041843 ,783.1841350515 
54269.3148097898 ,97.5688477000 ,57.0375633000 ,19868.0152017061 ,783.0259565648 
54269.3148103644 ,97.5688477000 ,57.0375633000 ,19576.6062899882 ,794.2973079811 
54269.3148109386 ,97.5688477000 ,57.0375633000 ,19539.7569313027 ,789.1047934877 
54269.3148115127 ,37.1083908000 ,45.1086960000 ,22674.9963365474 ,858.5640659638 
54269.3148120874 ,77.4153595000 ,53.3584175000 ,24392.4717383076 ,883.9393710012 
54269.3148126615 ,-3.1985893000 ,34.9638100000 ,23836.3404788080 ,889.8081235169 
54269.3148132361 ,117.7223358000 ,60.4933624000 ,23342.0521630470 ,881.9270361359 
54269.3148138103 ,-3.1985893000 ,34.9638100000 ,22702.2242600102 ,861.6591967799 
54269.3148143845 ,37.1083908000 ,45.1086960000 ,19045.7885098074 ,793.7463362470 
54269.3148149591 ,-3.1985893000 ,34.9638100000 ,19207.5959508575 ,801.3970382386 
54269.3148155332 ,97.5688477000 ,57.0375633000 ,18747.4218978102 ,773.1409930612 
54269.3148161078 ,77.4153595000 ,53.3584175000 ,18505.9497113333 ,784.8811895107 
54269.3148166820 ,57.2618790000 ,49.4060478000 ,17103.7399513382 ,741.5238280616 
54269.3148172562 ,77.4153595000 ,53.3584175000 ,15192.4381532546 ,714.4166339251 
54269.3148178303 ,97.5688477000 ,57.0375633000 ,15621.3413114655 ,715.1739220810 
54269.3148184049 ,-3.1985893000 ,34.9638100000 ,18525.3549896368 ,782.1274843051 
54269.3148189791 ,-3.1985893000 ,34.9638100000 ,18965.1936102850 ,794.6853335736 
54269.3148195537 ,97.5688477000 ,57.0375633000 ,18982.5958583400 ,813.8025532426 
54269.3148201278 ,57.2618790000 ,49.4060478000 ,20149.0706124778 ,796.7377321198 
54269.3148207020 ,117.7223358000 ,60.4933624000 ,18121.1808885284 ,751.1265002553 
54269.3148212766 ,117.7223358000 ,60.4933624000 ,18105.7090793307 ,763.2077378270 
54269.3148218508 ,-3.1985893000 ,34.9638100000 ,19787.8164789282 ,798.2340836863 
54269.3148224249 ,137.8758392000 ,63.7621346000 ,18398.4430915262 ,773.1690607071 
54269.3148229996 ,117.7223358000 ,60.4933624000 ,21527.0459211198 ,838.7164723198 
54269.3148235737 ,-23.3520813000 ,28.5710506000 ,18839.3115256375 ,801.7128569283 
54269.3148241479 ,137.8833313000 ,63.7483673000 ,21389.9786104352 ,817.1573674567 
54269.3148247225 ,16.9660492000 ,40.3562927000 ,22805.2892709741 ,846.1435559160 
54269.3148252966 ,137.8869934000 ,63.7621269000 ,19638.6337881108 ,793.1132378120 
54269.3148258708 ,57.2730331000 ,49.4060402000 ,18090.7773992971 ,753.2910155898 
54269.3148264454 ,218.5009308000 ,75.4338226000 ,18729.7748076056 ,774.2743876723 
54269.3148270196 ,16.9660492000 ,40.3562927000 ,20746.5777345228 ,812.9725199003 
54269.3148275942 ,77.4265137000 ,53.3584099000 ,20555.5811720885 ,794.8878051125 
54269.3148281683 ,218.5009308000 ,75.4338226000 ,25763.1153164518 ,905.2488660599 
54269.3148287425 ,57.2730331000 ,49.4060402000 ,24244.4345150340 ,873.5522657775 
54269.3148293171 ,97.5800018000 ,57.0375557000 ,21961.6296632723 ,847.9024360938 
54269.3148298913 ,57.2730331000 ,49.4060402000 ,26819.1625700639 ,926.4597783185 
54269.3148304654 ,77.4265137000 ,53.3584099000 ,26175.2129524496 ,910.7418966087 
54269.3148310400 ,16.9660492000 ,40.3562927000 ,23411.0631990628 ,872.0355363311 
54269.3148316142 ,77.4265137000 ,53.3584099000 ,19398.8176696404 ,790.3779111472 
54269.3148321884 ,77.4265137000 ,53.3584099000 ,18308.5281956084 ,774.9666204079 
54269.3148327630 ,77.4265137000 ,53.3584099000 ,20838.1290126460 ,813.3746946622 
54269.3148333371 ,57.2730331000 ,49.4060402000 ,20987.6845033192 ,816.0469652459 
54269.3148339117 ,97.5800018000 ,57.0375557000 ,21155.6782073233 ,812.5721906822 
54269.3148344859 ,-23.3409271000 ,28.5710373000 ,22774.8279547024 ,856.9503685681 
54269.3148350600 ,77.4265137000 ,53.3584099000 ,20306.7834069267 ,802.5582698026 
54269.3148356347 ,57.2730331000 ,49.4060402000 ,20334.8381340302 ,804.7933002914 
54269.3148362088 ,-43.4944153000 ,20.2519398000 ,21219.1698368928 ,826.4600618786 
54269.3148367830 ,37.1195450000 ,45.1086845000 ,21813.3488282118 ,841.3634435733 
54269.3148373576 ,37.1195450000 ,45.1086845000 ,22056.2027118440 ,851.9659391427 
54269.3148379318 ,37.1195450000 ,45.1086845000 ,20710.3681643687 ,807.5979886456 
54269.3148385059 ,16.9660492000 ,40.3562927000 ,18130.7875594004 ,750.8750449070 
54269.3148390805 ,16.9660492000 ,40.3562927000 ,18517.8768459944 ,757.6558036707 
54269.3148396547 ,77.4265137000 ,53.3584099000 ,23759.3000967228 ,868.7916085428 
54269.3148402288 ,16.9660492000 ,40.3562927000 ,20488.4685855035 ,795.0989660869 
54269.3148408034 ,16.9660492000 ,40.3562927000 ,19696.7610369168 ,798.9792989096 
54269.3148413776 ,77.4265137000 ,53.3584099000 ,20191.5734871286 ,795.0559802950 
54269.3148419522 ,37.1195450000 ,45.1086845000 ,21238.7867375566 ,832.4485440509 
54269.3148425264 ,-3.1874352000 ,34.9638023000 ,20913.8553675167 ,821.3064576012 
54269.3148431005 ,-3.1874352000 ,34.9638023000 ,22829.1090901444 ,848.9623165420 
54269.3148436752 ,16.9660492000 ,40.3562927000 ,19844.7724225766 ,795.2449178457 
54269.3148442493 ,-23.3409271000 ,28.5710373000 ,17018.0562722657 ,736.2548772942 
54269.3148448235 ,16.9660492000 ,40.3562927000 ,18585.1173902856 ,770.6522771920 
54269.3148453981 ,37.1195450000 ,45.1086845000 ,22552.9566741762 ,849.8337208254 
54269.3148459722 ,16.9660492000 ,40.3562927000 ,20899.3518536541 ,825.1215043105 
54269.3148465469 ,16.9660492000 ,40.3562927000 ,21208.5887188729 ,810.5020287765 
54269.3148471210 ,137.8869934000 ,63.7621269000 ,18597.2266186056 ,762.6740680664 
54269.3148476952 ,97.5800018000 ,57.0375557000 ,18846.7601405785 ,766.6298374936 
54269.3148482698 ,158.0404816000 ,66.8713074000 ,23029.5130047159 ,838.7292373314 
54269.3148488439 ,-3.1874352000 ,34.9638023000 ,26936.0470133068 ,907.7485013968 
54269.3148494181 ,37.1195450000 ,45.1086845000 ,22299.5462797753 ,833.9940332222 
54269.3148499927 ,97.5800018000 ,57.0375557000 ,22920.7440329218 ,840.2665753507 
54269.3148505669 ,37.1195450000 ,45.1086845000 ,23065.0089645850 ,864.6662797753 
54269.3148511410 ,37.1195450000 ,45.1086845000 ,21968.9577026824 ,830.3004079181 
54269.3148517156 ,57.2730331000 ,49.4060402000 ,24649.1475149439 ,888.1664353729 
54269.3148522898 ,117.7334900000 ,60.4933586000 ,23673.4601616052 ,853.5439560242 
54269.3148528644 ,-23.3409271000 ,28.5710373000 ,25752.9771289537 ,898.3348436514 
54269.3148534386 ,16.9660492000 ,40.3562927000 ,23076.6014406295 ,841.4950154696 
54269.3148540127 ,-23.3409271000 ,28.5710373000 ,28784.5757135562 ,951.4302940735 
54269.3148545869 ,77.4265137000 ,53.3584099000 ,25594.7377393289 ,905.6547319095 
54269.3148551615 ,57.2730331000 ,49.4060402000 ,18643.7675431798 ,763.6375957466 
54269.3148557352 ,-43.4944153000 ,20.2519398000 ,20880.2541659908 ,805.7664401790 
54269.3148563098 ,57.2730331000 ,49.4060402000 ,22290.4785077047 ,827.2131975609 
54269.3148568839 ,77.4265137000 ,53.3584099000 ,21781.9844258207 ,840.7654104713 
54269.3148574586 ,97.5800018000 ,57.0375557000 ,22213.7309519089 ,855.0412303626 
54269.3148580327 ,137.8869934000 ,63.7621269000 ,21462.7791631371 ,819.3722507585 
54269.3148586069 ,57.2730331000 ,49.4060402000 ,21462.4469652458 ,824.8969631432 
54269.3148591815 ,97.5800018000 ,57.0375557000 ,21143.2097131356 ,805.9253876423 
54269.3148597557 ,77.4265137000 ,53.3584099000 ,22009.5621279024 ,834.2825532426 
54269.3148603298 ,16.9660492000 ,40.3562927000 ,19457.9181352317 ,782.8868486978 
54269.3148609044 ,37.1195450000 ,45.1086845000 ,18958.0378216334 ,769.1508503800 
54269.3148614786 ,-43.4944153000 ,20.2519398000 ,20382.2464642095 ,809.4506070710 
54269.3148620527 ,-43.4944153000 ,20.2519398000 ,18707.8128359015 ,771.2751482383 
54269.3148626274 ,16.9660492000 ,40.3562927000 ,19335.7406722537 ,796.7281968099 
54269.3148632015 ,16.9660492000 ,40.3562927000 ,18965.8887651317 ,778.9808320567 
54269.3148637757 ,16.9660492000 ,40.3562927000 ,17603.7556048181 ,751.2195464240 
54269.3148643503 ,-3.1874352000 ,34.9638023000 ,17387.7679180559 ,770.1092259169 
54269.3148649244 ,37.1195450000 ,45.1086845000 ,17458.8718007870 ,755.9712066324 
54269.3148654991 ,37.1195450000 ,45.1086845000 ,18938.4209209696 ,797.2749391727 
54269.3148660732 ,137.8869934000 ,63.7621269000 ,22274.0137959208 ,841.5599170947 
54269.3148666474 ,37.1195450000 ,45.1086845000 ,19960.3526815055 ,792.4107776877 
54269.3148672220 ,97.5800018000 ,57.0375557000 ,20726.6064894415 ,795.5821140849 
54269.3148677962 ,77.4265137000 ,53.3584099000 ,23010.9222264275 ,858.6937154186 
54269.3148683703 ,57.2730331000 ,49.4060402000 ,20949.1274013997 ,830.8034724100 
54269.3148689449 ,37.1195450000 ,45.1086845000 ,20599.8139364993 ,811.8150563215 
54269.3148695191 ,57.2730331000 ,49.4060402000 ,17397.9614718692 ,768.0303745757 
54269.3148700932 ,-3.1874352000 ,34.9638023000 ,17694.1564939473 ,752.9753506954 
